ID,Title,Link,Scriptable,Statement,ScriptAvailable
Account.1,Security contact information should be provided for an AWS account,https://docs.aws.amazon.com/securityhub/latest/userguide/account-controls.html#account-1,Manual,"Take the contact information (name, email, adress,...) from the payer account (master account).  Loop through all the child accounts and if they do not have contact information filled out, set it to the same as the master account",FALSE
Account.2,AWS accounts should be part of an AWS Organizations organization,https://docs.aws.amazon.com/securityhub/latest/userguide/account-controls.html#account-2,Manual,"Ensure that the AWS account is  part of an AWS Organizations organization, otherwise ask for which org to join and then join it.",TRUE
ACM.1,Imported and ACM-issued certificates should be renewed after a specified time period,https://docs.aws.amazon.com/securityhub/latest/userguide/acm-controls.html#acm-1,Y,"Check all imported and ACM-issued certificates regularly, and renew them before they expire.",TRUE
APIGateway.1,API Gateway REST and WebSocket API execution logging should be enabled,https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-1,,,FALSE
APIGateway.2,API Gateway REST API stages should be configured to use SSL certificates for backend authentication,https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-2,,,FALSE
APIGateway.3,API Gateway REST API stages should have AWS X-Ray tracing enabled,https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-3,,,FALSE
APIGateway.4,API Gateway should be associated with a WAF Web ACL,https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-4,,,FALSE
APIGateway.5,API Gateway REST API cache data should be encrypted at rest,https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-5,Y,Review API Gateway REST API cache data and enable encryption at rest if needed.,TRUE
APIGateway.8,API Gateway routes should specify an authorization type,https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-8,,,FALSE
APIGateway.9,Access logging should be configured for API Gateway V2 Stages,https://docs.aws.amazon.com/securityhub/latest/userguide/apigateway-controls.html#apigateway-9,,,FALSE
AutoScaling.1,Auto Scaling groups associated with a Classic Load Balancer should use load balancer health checks,https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-1,,,FALSE
AutoScaling.2,Amazon EC2 Auto Scaling group should cover multiple Availability Zones,https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-2,,,FALSE
AutoScaling.3,Auto Scaling group launch configurations should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-3,Y,Check Auto Scaling group launch configurations and modify to require EC2 instances to use IMDSv2.,TRUE
AutoScaling.4,Auto Scaling group launch configuration should not have a metadata response hop limit greater than 1,https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-4,Y,Review all Auto Scaling group launch configurations and set the metadata response hop limit to no greater than 1.,TRUE
Autoscaling.5,Amazon EC2 instances launched using Auto Scaling group launch configurations should not have Public IP addresses,https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-5,Y,Review Auto Scaling group launch configurations to ensure that Amazon EC2 instances do not have Public IP addresses.,TRUE
AutoScaling.6,Auto Scaling groups should use multiple instance types in multiple Availability Zones,https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-6,,,FALSE
AutoScaling.9,EC2 Auto Scaling groups should use EC2 launch templates,https://docs.aws.amazon.com/securityhub/latest/userguide/autoscaling-controls.html#autoscaling-9,,,FALSE
CloudFormation.1,CloudFormation stacks should be integrated with Simple Notification Service (SNS),https://docs.aws.amazon.com/securityhub/latest/userguide/cloudformation-controls.html#cloudformation-1,,,FALSE
